"ITEM","Sex","ActivatorExp","ReporterExp","LexA","Gal4","ReporterSite","ActivatorSite","Days","Runs","Region","Stack","Drug","DrugTime","DrugConc","DrugRuns","TAGS","TIMESTAMP"
"*** 55G08L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","55G08","85H06","attP1","VK5","7:9","48:69","Dict(\"FB\" => 48:69)",6,"Mecamylamine","18:25:00 - 18:27:00","50 uM",NA,NA,"2015-11-18 Wed"
"*** 17H12 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","17H12","attP1","VK5","7","2:10","Dict(\"EB\" => 2:10)",1,NA,NA,NA,NA,NA,"2015-11-19 Thu"
"*** 55G08L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","55G08","87G07","attP1","VK5","7","12:17","Dict(\"FB\" => 12:17)",2,NA,NA,NA,NA,NA,"2015-11-19 Thu"
"*** 17H12 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","17H12","attP1","VK5","7","18:24","Dict(\"EB\" => 18:24)",3,NA,NA,NA,NA,NA,"2015-11-19 Thu"
"*** 55G08 Chrimson - 47G08L GCamp6m","Female","Gal4","LexA","47G08","55G08","attP1","VK5","6","2:7","Dict(\"PB-in\" => 2:7)",1,NA,NA,NA,NA,NA,"2015-11-20 Fri"
"*** 55G08 Chrimson - 47G08L GCamp6m","Female","Gal4","LexA","47G08","55G08","attP1","VK5","6","8:13","Dict(\"PB-in\" => 8:13)",2,NA,NA,NA,NA,NA,"2015-11-20 Fri"
"*** 47G08L Chrimson - 87G07 GCamp6m","Female","LexA","Gal4","47G08","87G07","attP1","VK5","6","1:20","Dict(\"FB\" => 1:20)",2,"Mecamylamine","11:30:00 - 11:32:00","50uM",NA,NA,"2015-11-23 Mon"
"*** 60D05L Chrimson - 76E11 GCamp6m","Female","LexA","Gal4","60D05","76E11","attP1","VK5","6","21:32","Dict(\"LAL\" => 21:26, \"NO\" => 27:31)",3,NA,NA,NA,NA,NA,"2015-11-23 Mon"
"*** 60D05L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","60D05","37F06","attP1","VK5","7","33:38","Dict(\"NO\" => 33:38)",4,NA,NA,NA,NA,NA,"2015-11-23 Mon"
"*** 60D05 Chrimson - 47G08L GCamp6m","Female","Gal4","LexA","47G08","60D05","attP1","VK5","7","39:51","Dict(\"PB-in\" => 39:51)",5,"Mecamylamine","16:55:00 - 16:57:00","50uM",NA,NA,"2015-11-23 Mon"
"*** 87G07 Chrimson - 76E11L GCamp6m","Female","Gal4","LexA","76E11","87G07","attP1","VK5","4","1:6","Dict(\"LAL\" => 1:6)",1,NA,NA,NA,NA,NA,"2015-11-30 Mon"
"*** 60D05L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","60D05","85H06","attP1","VK5","5","1:6","Dict(\"NO\" => 1:6)",1,NA,NA,NA,NA,NA,"2015-12-01 Tue"
"*** 87G07 Chrimson - 76E11L GCamp6m","Female","Gal4","LexA","76E11","87G07","attP1","VK5","5","7:12","Dict(\"LAL\" => 7:12)",2,NA,NA,NA,NA,NA,"2015-12-01 Tue"
"*** 87G07 Chrimson - 76E11L GCamp6m","Female","Gal4","LexA","76E11","87G07","attP1","VK5","5","13:18",NA,3,NA,NA,NA,NA,":Problematic:","2015-12-01 Tue"
"*** 60D05L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","60D05","85H06","attP1","VK5","5","1:22","Dict(\"NO\" => 1:22)",1,"Picrotoxin","14:29:00 - 14:32:00","10uM",NA,NA,"2015-12-02 Wed"
"*** 60D05L Chrimson - 85H06 GCamp6m","Female","LexA","Gal4","60D05","85H06","attP1","VK5","5","23:40","Dict(\"NO\" => 23:40)",2,"Picrotoxin","16:02:00 - 16:05:00","10uM",NA,NA,"2015-12-02 Wed"
"*** 47G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","47G08","attP1","VK5","5","1:20","Dict(\"EB\" => 1:20)",1,"Picrotoxin","14:11:00 - 14:14:00","10uM",NA,NA,"2015-12-03 Thu"
"*** 47G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","47G08","attP1","VK5","5","21:40","Dict(\"EB\" => 21:40)",2,"Picrotoxin","15:50:00 - 15:53:00","10uM",NA,NA,"2015-12-03 Thu"
"*** 47G08 Chrimson - 60D05L GCamp6m","Female","Gal4","LexA","60D05","47G08","attP1","VK5","5","41:60","Dict(\"EB\" => 41:60)",3,"Picrotoxin","17:06:00 - 17:09:00","10uM",NA,NA,"2015-12-03 Thu"
"*** 47G08L Chrimson - 37F06 GCamp6m","Female","LexA","Gal4","47G08","37F06","attP1","VK5","4","1:18","Dict(\"EB\" => 1:18)",1,"Mecamylamine","11:09:00 - 11:11:00","50uM",NA,NA,"2015-12-09 Wed"
"*** 47G08 Chrimson - 84H05L GCamp6m","Female","Gal4","LexA","84H05","47G08","attP1","VK5","4","19:24","Dict(\"FB-in\" => 19:24)",2,NA,NA,NA,NA,NA,"2015-12-09 Wed"
